;;;;Lightning;DataFly;IGreedy
Quality measure;Suppression limit;Privacy model;Dataset;Value;Value;Value
AECS;0.0;(5)-anonymity;ADULT;0.03655913978494624;0.03655913978494624;0.03655913978494624
AECS;0.0;(5)-anonymity;CUP;0.052631578947368425;0.052631578947368425;0.052631578947368425
AECS;0.0;(5)-anonymity;FARS;0.0074822297044519264;0.0074822297044519264;0.0074822297044519264
AECS;0.0;(5)-anonymity;ATUS;0.0034602076124567475;0.0465205690119185;0.0465205690119185
AECS;0.0;(5)-anonymity;IHIS;1.3045585001304554E-4;0.0057027843005702785;0.00988929889298893
AECS;0.0;recursive-(4,3)-diversity;ADULT;0.042735042735042736;0.042735042735042736;0.042735042735042736
AECS;0.0;recursive-(4,3)-diversity;CUP;0.08695652173913045;0.08695652173913045;0.08695652173913045
AECS;0.0;recursive-(4,3)-diversity;FARS;0.0070921985815602835;0.0070921985815602835;0.0070921985815602835
AECS;0.0;recursive-(4,3)-diversity;ATUS;0.24;1.0;0.3244444444444444
AECS;0.0;recursive-(4,3)-diversity;IHIS;0.11087363077745124;0.11087363077745124;0.05530323270104194
AECS;0.0;(0.2)-closeness;ADULT;1.0;1.0;1.0
AECS;0.0;(0.2)-closeness;CUP;0.0;0.0;0.0
AECS;0.0;(0.2)-closeness;FARS;0.0;0.0;0.0
AECS;0.0;(0.2)-closeness;ATUS;0.1272727272727273;1.0;0.2727272727272727
AECS;0.0;(0.2)-closeness;IHIS;0.025435073627844713;0.0532797858099063;0.025435073627844713
AECS;0.0;(0.05, 0.015)-presence;ADULT;0.07894736842105263;0.07894736842105263;0.07894736842105263
AECS;0.0;(0.05, 0.015)-presence;CUP;1.0;1.0;1.0
AECS;0.0;(0.05, 0.015)-presence;FARS;0.03538461538461538;0.03538461538461538;0.03538461538461538
AECS;0.0;(0.05, 0.015)-presence;ATUS;0.0016010692358026928;0.14026758739749676;0.33131923464249746
AECS;0.0;(0.05, 0.015)-presence;IHIS;2.4242424242424236E-4;0.005090909090909091;0.005090909090909091
AECS;0.0;(0.01)-uniqueness;ADULT;7.961785337394956E-6;7.961785337394956E-6;7.961785337394956E-6
AECS;0.0;(0.01)-uniqueness;CUP;1.9432248395213537E-6;2.5959962260084015E-7;2.5959962260084015E-7
AECS;0.0;(0.01)-uniqueness;FARS;7.0680717025546E-5;2.287989313065599E-5;2.287989313065599E-5
AECS;0.0;(0.01)-uniqueness;ATUS;0.0;0.0;0.0
AECS;0.0;(0.01)-uniqueness;IHIS;0.0;0.0;0.0
AECS;0.1;(5)-anonymity;ADULT;3.607199048313443E-4;0.0011683764270108371;0.0011683764270108371
AECS;0.1;(5)-anonymity;CUP;8.53414700657093E-5;1.2572847666042508E-4;1.2572847666042508E-4
AECS;0.1;(5)-anonymity;FARS;1.8509178342073285E-4;1.2860495146573654E-4;1.2860495146573654E-4
AECS;0.1;(5)-anonymity;ATUS;3.280925059331904E-5;3.280925059331904E-5;3.280925059331904E-5
AECS;0.1;(5)-anonymity;IHIS;1.0431687848486996E-5;2.3561611121284125E-5;2.3561611121284125E-5
AECS;0.1;recursive-(4,3)-diversity;ADULT;8.60339920435128E-4;0.001096092822711528;0.001096092822711528
AECS;0.1;recursive-(4,3)-diversity;CUP;7.94616912724832E-5;1.6508217183002955E-4;1.6508217183002955E-4
AECS;0.1;recursive-(4,3)-diversity;FARS;1.5197517642940605E-4;8.238499369681463E-5;8.238499369681463E-5
AECS;0.1;recursive-(4,3)-diversity;ATUS;0.09971997510889857;9.81252884264418E-4;9.81252884264418E-4
AECS;0.1;recursive-(4,3)-diversity;IHIS;1.7026285797238556E-5;6.666381242037916E-5;6.666381242037916E-5
AECS;0.1;(0.2)-closeness;ADULT;0.002926421404682272;0.0;0.0
AECS;0.1;(0.2)-closeness;CUP;0.0020377805727554185;5.139802631578949E-4;5.139802631578949E-4
AECS;0.1;(0.2)-closeness;FARS;0.003044802087864289;9.518783103688765E-4;9.518783103688765E-4
AECS;0.1;(0.2)-closeness;ATUS;0.0;0.03229783037475345;0.03229783037475345
AECS;0.1;(0.2)-closeness;IHIS;0.0073681108163866785;0.028257676435615865;0.015780245470485094
AECS;0.1;(0.05, 0.015)-presence;ADULT;0.035555555555555556;0.035555555555555556;0.035555555555555556
AECS;0.1;(0.05, 0.015)-presence;CUP;0.0617283950617284;0.0617283950617284;0.0617283950617284
AECS;0.1;(0.05, 0.015)-presence;FARS;0.04394904458598726;0.04394904458598726;0.04394904458598726
AECS;0.1;(0.05, 0.015)-presence;ATUS;8.156200136767725E-4;0.046167247386759584;0.046167247386759584
AECS;0.1;(0.05, 0.015)-presence;IHIS;1.883941012779287E-5;0.005585562482970846;0.005585562482970846
AECS;0.1;(0.01)-uniqueness;ADULT;7.961785337394956E-6;7.961785337394956E-6;7.961785337394956E-6
AECS;0.1;(0.01)-uniqueness;CUP;1.9432248395213537E-6;2.5959962260084015E-7;2.5959962260084015E-7
